Actual,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite,WeightedAvg_Pred
32.8242,32.7943,32.8239,32.8245,32.8257,32.8437,32.8255,32.8229
26.6372,26.6321,26.6363,26.6370,26.6364,26.6801,26.6380,26.6433
30.9645,30.9363,30.9640,30.9636,30.9634,31.1684,30.9702,30.9942
27.9144,27.9024,27.9143,27.9137,27.9145,27.7673,27.9141,27.8878
32.6101,32.6033,32.6107,32.6106,32.6114,32.4621,32.6123,32.5851
28.2814,28.3355,28.2694,28.2768,28.2773,28.1697,28.2771,28.2677
43.0994,43.1091,43.0989,43.0999,43.0996,43.2827,43.1008,43.1317
45.9124,45.9755,45.9110,45.9121,45.9103,45.8761,45.9140,45.9165
46.0021,46.0306,45.9983,46.0027,45.9949,46.1110,45.9652,46.0171
43.3644,43.2842,43.3655,43.3659,43.3646,43.2988,43.3621,43.3402
44.1229,44.1212,44.1230,44.1233,44.1231,44.0106,44.1221,44.1040
40.0050,39.9805,40.0051,40.0056,40.0042,39.9907,40.0044,39.9984
34.5379,34.5333,34.5383,34.5374,34.5371,34.7966,34.5391,34.5801
29.5025,29.5385,29.5023,29.5032,29.5018,29.6496,29.5027,29.5329
40.1631,40.1607,40.1626,40.1630,40.1612,40.1437,40.1638,40.1592
32.4063,32.3285,32.4190,32.4183,32.4106,32.3584,32.4721,32.4012
32.0115,31.9589,32.0120,32.0113,32.0114,32.1794,32.0099,32.0304
31.6913,31.6608,31.6914,31.6911,31.6914,31.6768,31.6913,31.6838
55.1648,55.2146,55.1656,55.1653,55.1643,55.0700,55.1636,55.1573
43.2328,42.9913,43.2362,43.2378,43.2258,43.0407,43.2254,43.1596
47.6001,47.6170,47.5999,47.6011,47.6015,47.4288,47.5971,47.5744
53.3880,53.4192,53.3881,53.3880,53.3895,53.4437,53.3929,53.4035
50.0755,49.9990,50.0739,50.0746,50.0752,50.0581,50.0768,50.0596
32.0416,32.1535,32.0410,32.0418,32.0431,32.2358,32.0450,32.0933
30.9751,30.9729,30.9748,30.9745,30.9757,30.9519,30.9759,30.9710
26.1615,26.1367,26.1615,26.1608,26.1624,26.1251,26.1602,26.1511
22.3777,22.3490,22.3774,22.3780,22.3787,22.4117,22.3782,22.3788
27.0756,27.0677,27.0759,27.0752,27.0758,26.9577,27.0749,27.0546
36.0687,36.0484,36.0684,36.0685,36.0689,36.1108,36.0697,36.0724
37.6440,37.6684,37.6436,37.6444,37.6454,37.5819,37.6437,37.6380
48.2420,48.3148,48.2420,48.2416,48.2400,48.3395,48.2377,48.2692
34.2976,34.2764,34.2975,34.2978,34.2972,34.1386,34.3000,34.2680
31.6929,31.6985,31.6928,31.6928,31.6929,31.6822,31.6898,31.6915
45.9453,45.9408,45.9452,45.9469,45.9484,45.9320,45.9450,45.9431
53.3469,53.3583,53.3471,53.3474,53.3459,53.2518,53.3486,53.3332
32.7613,32.7431,32.7611,32.7614,32.7620,32.5762,32.7584,32.7271
35.0819,35.1203,35.0814,35.0812,35.0828,35.2325,35.0747,35.1121
37.7971,37.7963,37.7966,37.7973,37.7971,37.9775,37.7944,37.8264
37.5208,37.5790,37.5196,37.5215,37.5232,37.5430,37.5145,37.5335
34.4244,34.4336,34.4236,34.4242,34.4250,34.1899,34.4266,34.3873
44.2766,44.3568,44.2763,44.2757,44.2765,44.3403,44.2824,44.3013
36.8710,36.8426,36.8708,36.8706,36.8721,37.1781,36.8635,36.9161
45.0640,45.0477,45.0644,45.0646,45.0641,45.0926,45.0688,45.0670
67.1306,67.1220,67.1313,67.1292,67.1254,67.0677,67.1237,67.1166
64.9126,65.0109,64.9122,64.9122,64.9104,64.9242,64.9074,64.9296
36.8448,36.7660,36.8448,36.8447,36.8440,36.5791,36.8438,36.7872
49.2949,49.4947,49.2980,49.2965,49.3061,49.5129,49.2909,49.3664
55.3415,55.2610,55.3428,55.3435,55.3406,55.3244,55.3454,55.3262
32.9431,32.8989,32.9432,32.9432,32.9422,32.9573,32.9423,32.9378
36.4665,36.4548,36.4663,36.4662,36.4659,36.4732,36.4689,36.4659
36.0154,35.9682,36.0152,36.0164,36.0160,36.2577,36.0184,36.0485
48.6312,48.7184,48.6313,48.6317,48.6307,48.7125,48.6318,48.6594
45.5733,45.5901,45.5725,45.5743,45.5747,45.4847,45.5694,45.5610
78.9825,79.0598,78.9821,78.9838,78.9815,79.0900,78.9843,79.0135
30.7852,30.7862,30.7851,30.7849,30.7862,30.8294,30.7813,30.7922
36.4229,36.3716,36.4305,36.4141,36.4280,36.1751,36.4062,36.3711
53.2895,53.3330,53.2896,53.2886,53.2850,53.2844,53.2872,53.2946
64.1593,64.1565,64.1601,64.1625,64.1648,64.3333,64.1575,64.1890
59.3603,59.3909,59.3604,59.3608,59.3568,59.4107,59.3597,59.3732
74.7090,74.7197,74.7088,74.7103,74.7096,74.4884,74.7153,74.6755
53.5393,53.0471,53.5360,53.5377,53.5400,53.4214,53.5888,53.4451
37.9340,38.1220,37.9309,37.9420,37.9352,37.9885,37.9295,37.9747
48.1352,48.2739,48.1408,48.1355,48.1287,48.2346,48.1250,48.1731
57.5273,57.5596,57.5322,57.5284,57.5358,57.5729,57.5233,57.5420
69.3110,69.2780,69.3087,69.3103,69.3186,69.3976,69.3099,69.3204
47.1976,47.2512,47.1969,47.1981,47.1991,47.2838,47.1956,47.2208
43.8947,43.9145,43.8934,43.8951,43.8926,43.6811,43.8933,43.8618
46.7584,46.7863,46.7577,46.7590,46.7590,46.5026,46.7533,46.7198
62.2863,62.1751,62.2785,62.2817,62.2650,62.3003,62.2861,62.2644
60.0171,60.0350,60.0168,60.0185,60.0189,59.9364,60.0172,60.0072
67.0932,67.2310,67.0920,67.0947,67.0941,67.0157,67.0957,67.1039
48.5940,48.5569,48.5872,48.5890,48.5976,48.5596,48.5857,48.5793
85.0248,84.8882,85.0262,85.0247,85.0309,85.1404,85.0329,85.0238
48.5582,48.5168,48.5683,48.5594,48.5511,48.7278,48.5472,48.5783
